,Symbol,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,TrailingPE,Beta,fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,ebit,netIncome,totalAssets,totalLiabilities,currentDebt,totalShareholderEquity,operatingCashflow,capitalExpenditures,profitLoss,dividendPayout
23,AMCR,13239318000,1808000000,20.68,4.07,2.745,0.495,0.0549,0.44,2725000000,0.44,-0.7,-0.107,20.68,0.858,2023-06-30,2725000000,14601000000,13926000000,1508000000,1833000000,1531000000,1048000000,17003000000,12913000000,93000000,4026000000,1261000000,526000000,1058000000,723000000
24,AEE,18064321000,3163000000,15.58,2.626,42.01,2.48,0.0367,4.41,3343000000,4.41,0.075,-0.112,15.58,0.443,2022-12-31,5756000000,7957000000,2201000000,1515000000,6442000000,1515000000,1074000000,37904000000,27396000000,1410000000,10508000000,2263000000,3351000000,1079000000,615000000
25,AAL,9781382000,6267000000,12.3,0.153,-7.95,None,None,1.21,11443000000,1.21,-0.974,-0.01,12.3,1.563,2022-12-31,12064000000,46971000000,34907000000,1607000000,9439000000,2148000000,127000000,64716000000,70515000000,3274000000,-5799000000,2173000000,2546000000,127000000,0
26,AEP,40313655000,6990000000,17.58,2.228,48.15,3.32,0.0464,4.36,8414100000,4.36,0.376,-0.033,17.58,0.494,2022-12-31,18082700000,19639500000,1556800000,3482700000,16156800000,3482700000,2307200000,93403300000,69235000000,6108600000,23893400000,5288000000,6671700000,2305600000,1645200000
27,AXP,153615811000,None,18.94,1.444,38.81,2.4,0.0113,11.22,28776000000,11.22,0.263,0.092,18.94,1.225,2023-12-31,5590000000,67364000000,50002000000,-7972000000,13562000000,17362000000,8374000000,261108000000,233051000000,1293000000,28057000000,18559000000,1563000000,8374000000,1780000000
28,AIG,48525005000,11817000000,12,0.549,56.06,1.36,0.0208,5.76,24968000000,5.76,-0.208,-0.09,12,1.031,2022-12-31,2349000000,56437000000,54088000000,-7471000000,9791000000,14407000000,10276000000,522228000000,478774000000,1500000000,40970000000,4207000000,210000000,11275000000,1011000000
29,AMT,90641121000,6689000000,129.63,2.678,9.72,6.31,0.035,1.5,7447300000,1.5,-0.301,0.055,129.63,0.68,2022-12-31,3864300000,10711100000,6846800000,2352300000,4486400000,2352300000,1765800000,67194500000,54786000000,7109000000,5572400000,3696200000,1902500000,1696700000,2641300000
30,AWK,23792949000,2198000000,25.25,3.048,50.83,2.725,0.0232,4.84,2203000000,4.84,0.016,0.079,25.25,0.649,2022-12-31,3741000000,3782000000,41000000,1273000000,2519000000,1273000000,820000000,27787000000,20094000000,1456000000,7693000000,1108000000,2297000000,820000000,467000000
31,AMP,39773389000,4269000000,18.76,1.4,37.73,5.2,0.0136,21.16,7844000000,21.16,-0.196,0.135,18.76,1.361,2022-12-31,6938000000,14347000000,7409000000,3170000000,3768000000,3456000000,2559000000,158852000000,155049000000,None,3803000000,4407000000,182000000,2559000000,534000000
32,AME,38889632000,2035076000,29.77,2.478,37.83,1,0.0066,5.66,2145269000,5.66,0.113,0.065,29.77,1.216,2022-12-31,1101663000,6070928000,4969265000,1500692000,1162920000,1511878000,1159542000,12431120000,4954608000,226079000,7476512000,1149373000,139005000,1159542000,202169000
33,AMGN,157748904000,17469999000,23.31,2.077,11.65,8.52,0.0309,12.49,19917000000,12.49,-0.526,0.198,23.31,0.617,2022-12-31,36285000000,51272000000,14987000000,9566000000,13518000000,9566000000,6552000000,65121000000,61460000000,1591000000,3661000000,9721000000,936000000,5661000000,4196000000
34,APH,63158731000,3000200000,33.86,5.43,13.94,0.85,0.0084,3.11,4028200000,3.11,0.011,0.027,33.86,1.308,2023-12-31,4084100000,12554700000,8470600000,2559600000,1952700000,2576800000,1928000000,16526400000,8099900000,353800000,8346500000,2528700000,372800000,1945500000,500600000
35,ADI,96704569000,6272047000,29.77,2.933,71.67,3.44,0.0176,6.55,7877218000,6.55,-0.453,-0.164,29.77,1.193,2023-10-28,7877218000,12053798000,7862615000,3823112000,4054106000,3872644000,3314579000,48794478000,13229356000,1046276000,35565122000,4817634000,1261463000,3314579000,1679106000
36,ANSS,30015113000,690911000,61.78,3.977,57.66,None,None,5.54,1884284000,5.54,-0.419,-0.029,61.78,1.169,2022-12-31,1814912000,2065553000,250641000,592658000,1222254000,598041000,523710000,6687945000,1822094000,None,4865851000,631003000,24370000,523710000,None
37,AON,62074417000,4319000000,25.0,1.74,-4.159,2.405,0.0079,12.5,5823000000,12.5,-0.214,0.078,25.0,0.857,2022-12-31,4442000000,12142000000,7700000000,3669000000,1177000000,3505000000,2589000000,32704000000,33133000000,945000000,-529000000,3219000000,196000000,2646000000,463000000
38,APA,9232518000,5273000000,5.96,0.17,3.514,1,0.0335,5.01,7636000000,5.01,0.164,-0.2,5.96,3.312,2022-12-31,1267000000,1874000000,607000000,5620000000,5263000000,5620000000,3536000000,14255000000,11997000000,2000000,2258000000,4852000000,1540000000,4222000000,894000000
39,AAPL,2916202840000,130108998000,29.32,2.324,4.793,0.95,0.0051,6.44,170782000000,6.44,0.16,0.021,29.32,1.312,2023-09-30,169148000000,379352000000,239069000000,114301000000,54847000000,117669000000,96995000000,352583000000,290437000000,15972000000,62146000000,110543000000,10959000000,96995000000,15025000000
40,AMAT,154630406000,8169000000,22.94,2.19,19.63,1.22,0.0069,8.1,11993000000,8.1,0.288,-0.004,22.94,1.551,2023-10-29,12384000000,26274000000,16276000000,7654000000,4730000000,7954000000,6856000000,30729000000,14380000000,202000000,16349000000,8700000000,1106000000,6856000000,975000000
41,APTV,22886531000,2744000000,7.89,0.739,41.39,None,None,10.39,2646000000,10.39,2.744,0.06,7.89,1.937,2023-12-31,858000000,20051000000,19193000000,1559000000,3884000000,1295000000,2938000000,24427000000,12583000000,18000000,11548000000,1896000000,906000000,2966000000,34000000
42,ACGL,31144935000,3399146000,10.77,2.24,38.84,None,None,7.75,2847711000,7.75,97.08,0.395,10.77,0.574,2022-12-31,-2382580000,9614808000,11997388000,-3739694000,1330949000,1687160000,1476933000,47990000000,35069000000,None,12910000000,3815227000,51672000,1482423000,40736000
43,ADM,28295860000,5088000000,7.38,16.43,47.16,1.75,0.0377,7.19,7570000000,7.19,-0.169,-0.121,7.38,0.763,2022-12-31,7570000000,101556000000,93986000000,3685000000,3885000000,5604000000,4340000000,55499000000,37013000000,426000000,24939000000,3478000000,1319000000,4365000000,899000000
44,ANET,87870202000,2160018000,46.92,2.107,20.92,None,None,6.02,2675696000,6.02,0.522,0.283,46.92,1.131,2022-12-31,2675696000,4381310000,2159460000,1527106000,1148590000,1527106000,1352446000,6775410000,1889590000,None,4885820000,492813000,44644000,1352446000,None
45,AJG,51753284000,2544433000,54.04,2.09,49.73,2.2,0.01,4.42,3643900000,4.42,0.076,0.179,54.04,0.688,2023-12-31,3896700000,9764900000,5868200000,2207000000,1689700000,1485300000,969500000,51615800000,40800500000,670000000,10775300000,2031700000,193600000,966000000,473600000
46,AIZ,9180740000,1102967000,14.6,1.46,90.66,2.82,0.0165,11.95,714400000,11.95,1.693,0.125,14.6,0.49,2022-12-31,1385700000,10193000000,8807300000,1283400000,102300000,458200000,276600000,33117300000,28888600000,None,4228700000,596900000,186300000,276600000,150200000
47,T,120406335000,41836999000,8.55,1.296,14.45,1.11,0.0659,1.97,69893000000,1.97,-0.401,0.022,8.55,0.713,2022-12-31,39925000000,120741000000,80816000000,-4587000000,55842000000,1364000000,-8524000000,402853000000,337878000000,7467000000,97500000000,67654000000,19626000000,-7055000000,9859000000
48,ATO,17061512000,1777827000,18.1,2.72,74.74,3.025,0.0285,6.25,2058278000,6.25,0.087,-0.219,18.1,0.665,2023-09-30,2823184000,4275357000,1452173000,1067147000,1802090000,1136922000,885862000,22516968000,11646904000,243501000,10870064000,3459743000,2805973000,885862000,430345000
49,ADSK,57046852000,1191000000,62.9,1.671,6.92,None,None,4.24,4583000000,4.24,0.231,0.105,62.9,1.454,2023-01-31,4525000000,5005000000,480000000,989000000,3536000000,989000000,823000000,9438000000,8293000000,None,1145000000,2071000000,46000000,823000000,0
50,ADP,103141384000,5305200000,29.07,3.029,10.52,5.15,0.0224,8.6,8510000000,8.6,0.092,0.063,29.07,0.802,2023-06-30,4006800000,18012200000,14005400000,-8202000000,12208800000,4690900000,3412000000,50971000000,47461900000,1200000,3509100000,4207600000,571600000,3412000000,1903600000
51,AZO,47235535000,4108105000,19.49,1.451,-300.92,None,None,137.48,9070422000,137.48,0.186,0.051,19.49,0.698,2023-08-26,9070422000,17457209000,8386787000,3473986000,5728936000,3487735000,2528426000,15985878000,20335772000,86916000,-4349894000,2940788000,796657000,2528426000,4397493000
52,AVB,24800082000,1674614000,26.58,2.65,83.07,6.6,0.0389,6.57,1689582000,6.57,-0.012,0.106,26.58,0.938,2022-12-31,1887099000,2593446000,706347000,1765786000,120301000,1765786000,1136775000,20457764000,9201526000,None,11253476000,1421932000,1618354000,1136438000,889655000
53,AVY,16490394000,1262200000,33.03,2.2,26.27,3.18,0.0158,6.2,2404200000,6.2,0.176,0.042,33.03,0.903,2022-12-31,2404200000,8955200000,8055400000,840900000,1563300000,1083400000,757100000,7950500000,5918300000,598600000,2032200000,961000000,278100000,757100000,238900000
54,AXON,20305562000,166914000,138.26,2.86,20.3,None,None,1.96,728638000,1.96,3.588,0.327,138.26,0.892,2022-12-31,728638000,1185748000,872172000,93253000,635385000,93253000,147139000,2851894000,1583403000,None,1268491000,235361000,56109000,147139000,None
55,BKR,29288993000,3734000000,15.21,1.317,15.4,0.78,0.0286,1.91,4431000000,1.91,1.366,0.157,15.21,1.42,2023-12-31,22104000000,25330000000,3226000000,2317000000,3888000000,2317000000,1943000000,36945000000,21577000000,148000000,15368000000,3062000000,1224000000,1970000000,786000000
56,BALL,18656358000,2112000000,26.53,1.277,12.17,0.8,0.0135,2.23,2583000000,2.23,1.803,-0.041,26.53,0.866,2022-12-31,1497000000,15054000000,13557000000,1214000000,846000000,1214000000,719000000,19909000000,16382000000,1408000000,3461000000,301000000,1651000000,732000000,254000000
57,BAC,261497717000,None,10.74,7.91,33.34,0.92,0.029,3.08,92407000000,3.08,-0.588,-0.11,10.74,1.399,2022-12-31,33512000000,94950000000,61438000000,12017000000,21495000000,51072000000,27528000000,3051375000000,2778178000000,26932000000,273197000000,-6327000000,None,27528000000,8576000000
58,BK,41930977000,None,13.8,0.585,48.24,1.58,0.0304,4,16338000000,4,-0.468,0.084,13.8,1.108,2022-12-31,3328000000,16377000000,13049000000,-1275000000,4603000000,6955000000,2573000000,405783000000,364933000000,10508000000,40734000000,15068000000,1346000000,2560000000,1376000000
59,BBWI,10104081000,1493000000,14.24,1.5,-9.36,0.8,0.0179,3.14,3255000000,3.14,0.303,-0.026,14.24,1.841,2023-01-28,3255000000,7212000000,6184000000,1376000000,1879000000,1399000000,800000000,5494000000,7700000000,None,-2206000000,1144000000,328000000,794000000,186000000
60,BAX,20546699000,2498000000,None,1.696,15.97,1.16,0.0293,-0.15,6031000000,-0.15,0.342,-0.001,-,0.614,2023-12-31,4975000000,14847000000,16080000000,390000000,6883000000,3134000000,2656000000,28276000000,19808000000,2668000000,8402000000,1726000000,692000000,2663000000,586000000
61,BDX,70419866000,4912000000,55.91,1.338,87.68,3.68,0.0156,4.36,8823000000,4.36,-0.435,0.026,55.91,0.452,2023-09-30,1094000000,19372000000,18278000000,2111000000,8045000000,2068000000,1484000000,52780000000,26984000000,1141000000,25796000000,5727000000,874000000,1530000000,1114000000
62,BBY,16283937000,2621000000,13.06,1.734,13,3.64,0.0487,5.79,9912000000,5.79,-0.01,-0.078,13.06,1.511,2023-01-28,9912000000,46298000000,36386000000,1795000000,8218000000,1824000000,1419000000,15803000000,13008000000,32000000,2795000000,1824000000,930000000,1419000000,789000000
63,BIO,9478634000,536049000,None,1.074,288.77,None,None,-6.02,1568430000,-6.02,1.978,-0.072,-,0.886,2022-12-31,1567330000,5562940000,2107344000,482616000,1122114000,-4666121000,-3627535000,13501666000,3886414000,1465000,9615252000,194447000,112782000,-3627573000,68184000000
64,TECH,10682759000,323365000,48.88,1.148,12.49,0.32,0.0047,1.39,770215000,1.39,-0.452,0.004,48.88,1.236,2023-06-30,769815000,1137169000,816620000,298944000,470871000,349695000,285263000,2638692000,672176000,None,1966516000,254393000,38244000,285442000,50285000
65,BIIB,34917519000,2536600000,23.98,6.24,99.96,None,None,10.05,7895100000,10.05,-0.438,0.009,23.98,0.003,2022-12-31,5114100000,10173400000,5059300000,-815000000,5425400000,3926300000,3046900000,24554100000,11165700000,0,13397900000,1384300000,243200000,2961600000,None
66,BLK,118385689000,6760333000,21.84,4.245,259.34,20,0.0256,36.51,8787000000,36.51,0.103,0.068,21.84,1.392,2022-12-31,38412000000,46595000000,8183000000,6385000000,11488000000,6686000000,5178000000,117628000000,78843000000,None,37744000000,4956000000,533000000,4994000000,2990000000
67,BX,155528282000,None,69.39,4.243,9.48,3.35,0.0262,1.84,7053217000,1.84,-0.733,-0.303,69.39,1.507,2022-12-31,3825451000,8517673000,4692222000,2642285000,1367766000,2537736000,1747631000,42524227000,22843160000,89944000,7655911000,6336253000,235497000,2988909000,7790692000
68,BA,127652577000,3154000000,None,6.53,-28.27,None,None,-3.66,5768000000,-3.66,-0.68,0.102,-,1.558,2023-12-31,7724000000,77794000000,70070000000,-773000000,8830000000,-773000000,-2222000000,137012000000,154240000000,5204000000,-17233000000,5960000000,1527000000,-2242000000,None
69,BKNG,133917483000,6830000000,26.58,0.797,-17.76,None,None,141.38,14625000000,141.38,0.663,0.213,26.58,1.411,2022-12-31,7247000000,17090000000,9843000000,5102000000,11988000000,5102000000,3058000000,25361000000,22579000000,521000000,2782000000,6554000000,368000000,3058000000,None
70,BWA,7474749000,1830000000,11.82,1.356,25.36,0.56,0.0138,2.69,3101000000,2.69,-0.394,0.062,11.82,1.31,2023-12-31,2568000000,14198000000,11630000000,1160000000,2208000000,1160000000,625000000,14453000000,8387000000,73000000,5828000000,3516000000,832000000,695000000,246000000
71,BXP,10212129000,1588147000,53.04,1.233,37.45,3.92,0.0611,1.21,1952127000,1.21,-0.023,0.085,53.04,1.181,2022-12-31,1929527000,3108581000,1179054000,1030469000,462039000,1030469000,848947000,24207669000,15837237000,None,6132919000,1282399000,1820546000,1020584000,685019000
72,BSX,95956189000,3724333000,61.22,2.034,12.89,None,None,1.07,8679000000,1.07,2.866,0.149,61.22,0.78,2022-12-31,8727000000,12190000000,9482000000,1649000000,7078000000,1649000000,698000000,32469000000,14896000000,20000000,17573000000,1526000000,588000000,698000000,55000000
73,BMY,101351391000,18448331000,12.9,0.671,14.26,2.31,0.0482,3.86,36378000000,3.86,-0.087,0.006,12.9,0.371,2022-12-31,17713000000,46159000000,28446000000,-10290000000,28003000000,8927000000,6327000000,96820000000,65702000000,4264000000,31061000000,13066000000,1118000000,6345000000,4634000000
74,AVGO,600830837000,20203000000,38.94,1.921,59.22,19.05,0.0164,32.96,24947000000,32.96,1.881,0.164,38.94,1.264,2023-10-29,24690000000,35819000000,11129000000,16207000000,8483000000,16207000000,14082000000,72861000000,48873000000,1608000000,23988000000,18085000000,452000000,14082000000,7645000000
75,BR,23436661000,1460100000,34.73,2.095,17.57,1.45,0.0161,5.73,1785400000,5.73,0.229,0.087,34.73,1.012,2023-06-30,437700000,5917200000,5479500000,936400000,1204000000,936400000,630600000,8233200000,5992600000,1178500000,2240600000,823300000,75200000,774300000,331000000
76,BRO,23052440000,1368200000,26.56,4.41,19.6,0.475,0.0064,3.05,1750000000,3.05,0.833,0.124,26.56,0.782,2022-12-31,3566400000,3573400000,7000000,869100000,2697300000,1017300000,671800000,13973500000,9366900000,250600000,4606600000,881400000,52600000,671800000,119500000
77,BLDR,22859899000,2769682000,15.52,0.81,37.12,None,None,11.94,7744379000,11.94,-0.239,-0.213,15.52,2.04,2022-12-31,7744379000,22698852000,19260688000,3770206000,4317570000,3770206000,2749369000,10595160000,5632594000,6355000,4962566000,3599231000,340152000,2749369000,None
78,BG,12863799000,3720000000,6.85,1.705,80.37,2.613,0.0299,12.92,3918000000,12.92,0.895,-0.103,6.85,0.621,2023-12-31,4409000000,61264000000,56855000000,2799000000,58465000000,None,1963000000,24580000000,14624000000,None,9956000000,1342000000,1007000000,None,380000000
79,CDNS,84867023000,1288402000,88.62,3.046,11.45,None,None,3.52,3190095000,3.52,0.368,0.134,88.62,1.064,2022-12-31,2618051000,3534364000,916313000,1073686000,2126713000,1068297000,848952000,5137071000,2391958000,100000000,2745113000,1241894000,124215000,848952000,None
80,CZR,9599140000,3834000000,13.57,1.16,21.32,None,None,3.28,5420000000,3.28,0.417,0.037,13.57,2.842,2022-12-31,4134000000,8497000000,4363000000,1739000000,3996000000,1363000000,-899000000,33527000000,29776000000,108000000,3713000000,969000000,963000000,-910000000,None
81,CPT,10216300000,897838000,25.26,8.96,45.82,4,0.0441,3.7,905813000,3.7,3.823,0.032,25.26,0.85,2022-12-31,215378000,1350892000,1135514000,-385683000,601061000,770003000,653613000,9327935000,4271014000,None,4986620000,744712000,1519889000,661508000,396822000
82,CPB,12848100000,1748000000,15.91,1.539,12.6,1.48,0.0352,2.64,2935000000,2.64,-0.212,-0.022,15.91,0.244,2023-07-30,1406000000,9357000000,7951000000,1312000000,1651000000,1316000000,858000000,12058000000,8395000000,191000000,3661000000,1143000000,383000000,858000000,447000000
83,COF,51498553000,None,11.31,7.14,139.97,2.4,0.0178,11.95,28403000000,11.95,-0.447,0.004,11.31,1.492,2022-12-31,9240000000,34250000000,25010000000,-3869000000,13109000000,13363000000,7360000000,455249000000,402667000000,883000000,52582000000,13809000000,934000000,7360000000,1178000000
84,CAH,25527302000,2728000000,41.65,0.354,-14.13,1.998,0.0191,2.52,6545000000,2.52,-0.95,0.116,41.65,0.702,2023-06-30,6889000000,205012000000,198123000000,727000000,6269000000,730000000,261000000,43417000000,46269000000,836000000,-2852000000,2839000000,481000000,262000000,525000000
85,KMX,11810911000,1011806000,23.89,0.925,38.25,None,None,3.13,2800203000,3.13,1.176,-0.043,23.89,1.599,2023-02-28,2800203000,29684873000,26884670000,11997000,2792979000,757202000,484762000,26182736000,20569659000,579468000,5613077000,1283332000,422710000,484762000,None
86,CCL,20495497000,4314000000,None,1.41,5.45,None,None,-0.06,10702000000,-0.06,-0.139,0.406,-,2.58,2023-11-30,5112000000,19429000000,14317000000,1956000000,17267000000,2005000000,-74000000,49120000000,42238000000,2089000000,6882000000,4281000000,3284000000,-88000000,None
87,CARR,50317369000,2811000000,35.45,2.221,10.33,0.745,0.0136,1.58,5473000000,1.58,0.582,-0.001,35.45,1.271,2023-12-31,17821000000,21458000000,3637000000,2296000000,4253000000,2296000000,1349000000,32822000000,23817000000,51000000,9005000000,2607000000,469000000,1440000000,678000000
88,CTLT,10249652000,312000000,None,3.775,20.27,None,None,-7.18,1040000000,-7.18,-0.154,-0.102,-,1.204,2023-06-30,1040000000,4263000000,3223000000,-163000000,1499000000,-163000000,-256000000,10508000000,5733000000,None,4775000000,254000000,576000000,-256000000,0
89,CAT,163925426000,15094000000,15.77,1.874,38.65,5.1,0.0164,20.11,15565000000,20.11,0.894,0.029,15.77,1.139,2022-12-31,18077000000,59427000000,41350000000,7904000000,8543000000,7904000000,6705000000,81943000000,66052000000,5957000000,15891000000,7766000000,2599000000,6704000000,2440000000
90,CBOE,19439256000,1175700000,25.7,1.75,35.84,2.05,0.012,7.14,1741700000,7.14,0.326,-0.036,25.7,0.602,2022-12-31,1741700000,3958500000,2216800000,489600000,1252100000,489600000,235000000,6998900000,3533600000,304700000,3465300000,651100000,59800000,235000000,209400000
91,CBRE,26379835000,1738851000,45.55,2.204,25.84,None,None,1.9,6622158000,1.9,-0.558,0.045,45.55,1.428,2022-12-31,6588758000,30828246000,24239488000,1511915000,915543000,1511915000,1407370000,20513389000,11907657000,668754000,7853273000,1629088000,260140000,1423960000,None
92,CDW,32851010000,1951033000,30.31,1.53,15.23,2.39,0.0101,8.09,4686600000,8.09,0.044,-0.077,30.31,1.096,2022-12-31,4686600000,23513000000,22246500000,1735200000,3192700000,1735200000,1114500000,13131500000,11528200000,56300000,1603300000,1335900000,127800000,1114500000,282600000
93,CE,16210686000,1710000000,8.01,16.02,59.63,2.8,0.0188,18.59,2380000000,18.59,3.964,0.183,8.01,1.353,2022-12-31,2380000000,9349000000,8212000000,1378000000,1023000000,1810000000,1894000000,26272000000,20635000000,1306000000,5637000000,1819000000,543000000,1902000000,297000000
